code,name,final_value,total_return_pct,sharpe_ratio,max_drawdown_pct,annual_return_pct,total_trades,win_count,lose_count,win_rate_pct,buy_signals,sell_signals,avg_hold_days,best_trade_pct,worst_trade_pct,signal_distribution,data_start,data_end,data_bars,error
sh.600346,,75204.56,-24.8,-0.21,50.96,-28.5,120,42,78,35.0,122,120,7.8,20.73,-14.26,"{'见好就收': 107, '独上高楼': 6, '节外生枝': 18, '一阴破三线': 16, '落井下石': 24, '一剑封喉': 8, '黑客点击': 12, '马失前蹄': 12, '过河拆桥': 10, '一箭穿心': 8, '动量加速': 13, '三军集结': 2, '金屋藏娇': 1, '浪子回头': 1, '双蹄并进': 1, '止损': 2, '红杏出墙': 1}",2023-01-03,2026-08-12,874,
sh.600362,,95676.65,-4.32,0.026,42.96,-4.42,123,51,72,41.5,125,123,7.2,24.25,-10.75,"{'黑客点击': 13, '一剑封喉': 5, '节外生枝': 14, '见好就收': 107, '马失前蹄': 17, '一箭穿心': 8, '独上高楼': 5, '落井下石': 18, '过河拆桥': 5, '一阴破三线': 15, '海底捞月': 1, '止盈': 3, '动量加速': 25, '三军集结': 2, '止损': 6, '红杏出墙': 1, '日月合璧': 3}",2023-01-03,2026-08-12,874,
sh.600372,,43357.2,-56.64,-1.41,57.53,-83.57,127,47,80,37.0,128,127,7.7,33.32,-10.9,"{'见好就收': 96, '一箭穿心': 10, '三军集结': 3, '落井下石': 37, '独上高楼': 7, '一阴破三线': 12, '马失前蹄': 22, '黑客点击': 24, '红杏出墙': 4, '节外生枝': 12, '一剑封喉': 9, '过河拆桥': 9, '浪子回头': 1, '止盈': 1, '止损': 3, '梅开二度': 1, '动量加速': 4}",2023-01-03,2026-08-12,867,
sh.600406,,81091.25,-18.91,-0.386,38.89,-20.96,118,42,76,35.6,119,118,8.9,20.83,-8.83,"{'见好就收': 73, '过河拆桥': 13, '金屋藏娇': 3, '一剑封喉': 7, '黑客点击': 32, '一箭穿心': 9, '节外生枝': 14, '马失前蹄': 22, '红杏出墙': 4, '三军集结': 6, '海底捞月': 1, '一阴破三线': 18, '落井下石': 28, '独上高楼': 3, '止盈': 1, '浪子回头': 1, '动量加速': 2}",2023-01-03,2026-08-12,874,
sh.600415,,215392.02,115.39,0.837,41.16,76.73,132,60,72,45.5,134,132,6.3,34.37,-14.4,"{'见好就收': 127, '节外生枝': 29, '动量加速': 30, '红杏出墙': 2, '一箭穿心': 5, '一阴破三线': 4, '马失前蹄': 13, '过河拆桥': 7, '止损': 1, '落井下石': 27, '独上高楼': 1, '黑客点击': 8, '三军集结': 2, '一剑封喉': 2, '止盈': 3, '日月合璧': 4, '双蹄并进': 1}",2023-01-03,2026-08-12,874,
sh.600426,,88345.56,-11.65,-0.184,46.73,-12.39,134,48,86,35.8,135,134,7.0,41.25,-9.23,"{'日月合璧': 3, '一阴破三线': 9, '见好就收': 116, '节外生枝': 20, '落井下石': 44, '独上高楼': 10, '黑客点击': 15, '过河拆桥': 17, '一剑封喉': 5, '双蹄并进': 3, '马失前蹄': 5, '一箭穿心': 6, '止盈': 1, '止损': 2, '浪子回头': 1, '红杏出墙': 1, '金屋藏娇': 2, '动量加速': 9}",2023-01-03,2026-08-12,874,
sh.600436,,44678.65,-55.32,-4.098,61.14,-80.57,144,37,107,25.7,145,145,6.6,26.62,-13.32,"{'见好就收': 119, '独上高楼': 14, '一阴破三线': 13, '落井下石': 70, '马失前蹄': 12, '一箭穿心': 6, '黑客点击': 24, '一剑封喉': 7, '节外生枝': 7, '过河拆桥': 7, '止损': 3, '止盈': 1, '红衣侠女': 1, '日月合璧': 1, '三军集结': 1, '量能突破': 1, '动量加速': 3}",2023-01-03,2026-08-12,874,
sh.600438,,27863.45,-72.14,-6.604,75.29,-127.79,114,38,76,33.3,115,114,6.9,19.09,-15.5,"{'见好就收': 104, '落井下石': 43, '过河拆桥': 8, '节外生枝': 15, '黑客点击': 8, '马失前蹄': 17, '一阴破三线': 6, '独上高楼': 2, '一箭穿心': 5, '金屋藏娇': 2, '止损': 5, '一剑封喉': 3, '红杏出墙': 2, '止盈': 1, '动量加速': 6, '日月合璧': 1, '分道扬镳': 1}",2023-01-03,2026-08-12,864,
sh.600460,,68404.61,-31.6,-0.918,61.82,-37.97,122,51,71,41.8,123,122,7.5,40.8,-13.74,"{'黑客点击': 10, '节外生枝': 22, '见好就收': 111, '过河拆桥': 4, '一箭穿心': 9, '一阴破三线': 7, '马失前蹄': 12, '独上高楼': 3, '落井下石': 32, '一剑封喉': 6, '止损': 6, '浪子回头': 2, '金屋藏娇': 2, '动量加速': 12, '双蹄并进': 4, '止盈': 1, '红衣侠女': 1, '红杏出墙': 1}",2023-01-03,2026-08-12,874,
sh.600482,,80841.06,-19.16,-0.406,49.01,-21.27,133,50,83,37.6,136,134,6.7,24.0,-11.72,"{'见好就收': 115, '过河拆桥': 9, '独上高楼': 6, '黑客点击': 15, '一箭穿心': 8, '节外生枝': 25, '止盈': 3, '马失前蹄': 11, '动量加速': 23, '止损': 5, '一阴破三线': 12, '落井下石': 23, '分道扬镳': 1, '三军集结': 2, '一剑封喉': 4, '金屋藏娇': 2, '日月合璧': 2, '浪子回头': 1, '双蹄并进': 1, '梅开二度': 1, '红杏出墙': 1}",2023-01-03,2026-08-12,864,
sh.600489,,107914.66,7.91,-0.062,40.95,7.62,123,54,69,43.9,125,123,6.8,21.61,-14.26,"{'动量加速': 33, '见好就收': 110, '一剑封喉': 9, '金屋藏娇': 1, '一箭穿心': 6, '过河拆桥': 9, '三军集结': 1, '落井下石': 21, '节外生枝': 22, '一阴破三线': 4, '黑客点击': 9, '马失前蹄': 8, '独上高楼': 3, '双蹄并进': 3, '止损': 4, '日月合璧': 2, '红杏出墙': 3}",2023-01-03,2026-08-12,874,
