代码,名称,最终价值,总收益率(%),夏普比率,最大回撤(%),年化收益(%),总交易,盈利笔数,亏损笔数,胜率(%),买入信号,卖出信号,平均持仓(天),最佳交易(%),最差交易(%),信号分布,数据起始,数据截止,数据K线数,error
sh.600015,,139366.22,39.37,0.32,26.09,33.19,82,33,49,40.20,83,83,13.50,32.07,-6.53,"{'黑客点击': 26, '马失前蹄': 10, '浪子回头': 1, '节外生枝': 7, '见好就收': 52, '过河拆桥': 19, '独上高楼': 5, '一箭穿心': 9, '一阴破三线': 7, '红杏出墙': 1, '日月合璧': 1, '一剑封喉': 6, '三军集结': 2, '止盈': 1, '动量加速': 1, '梅开二度': 1, '落井下石': 17}",2023-01-03,2026-08-12,874,
sh.600000,,124068.96,24.07,0.22,38.37,21.57,110,38,72,34.50,112,110,9.30,20.70,-7.94,"{'黑客点击': 27, '一阴破三线': 10, '马失前蹄': 18, '日月合璧': 2, '见好就收': 75, '一箭穿心': 8, '落井下石': 31, '过河拆桥': 11, '独上高楼': 6, '红杏出墙': 3, '三军集结': 2, '一剑封喉': 6, '浪子回头': 2, '动量加速': 6, '节外生枝': 8, '双蹄并进': 1, '金屋藏娇': 3, '止盈': 1, '止损': 2}",2023-01-03,2026-08-12,874,
sh.600011,,76524.18,-23.48,-0.57,52.65,-26.76,109,44,65,40.40,111,109,9.30,27.79,-10.06,"{'见好就收': 88, '马失前蹄': 19, '节外生枝': 16, '过河拆桥': 20, '止损': 3, '一阴破三线': 11, '黑客点击': 17, '日月合璧': 1, '落井下石': 27, '一箭穿心': 5, '独上高楼': 3, '一剑封喉': 2, '浪子回头': 2, '三军集结': 3, '双蹄并进': 1, '止盈': 1, '动量加速': 1}",2023-01-03,2026-08-12,874,
sh.600010,,61461.68,-38.54,-1.09,40.24,-48.68,136,46,90,33.80,139,136,6.80,21.08,-10.53,"{'见好就收': 112, '落井下石': 35, '马失前蹄': 22, '三军集结': 4, '一阴破三线': 9, '黑客点击': 22, '独上高楼': 7, '过河拆桥': 8, '一箭穿心': 8, '节外生枝': 18, '日月合璧': 2, '红衣侠女': 1, '止损': 6, '动量加速': 14, '一剑封喉': 2, '止盈': 2, '浪子回头': 1, '一枝独秀': 1, '金屋藏娇': 1}",2023-01-03,2026-08-12,874,
sh.600009,,46051.18,-53.95,-1.03,56.42,-77.54,150,40,110,26.70,151,150,6.60,36.28,-11.56,"{'见好就收': 107, '一阴破三线': 12, '落井下石': 69, '马失前蹄': 16, '独上高楼': 13, '节外生枝': 8, '黑客点击': 34, '一箭穿心': 8, '三军集结': 7, '过河拆桥': 10, '一剑封喉': 10, '金屋藏娇': 2, '止盈': 1, '止损': 1, '分道扬镳': 2, '红杏出墙': 1}",2023-01-03,2026-08-12,874,
